@lat	@lon	addr:street	addr:housenumber	name
50.0264741	19.9300400	Odrzańska	9	Gabinet weterynaryjny
50.0244535	19.9336273	Zakopiańska	33B	
50.0246524	19.9337341	Zakopiańska	33A	
50.0594822	19.9351670	Franciszkańska	3	Okno Papieskie
50.0723146	19.9809767	Śliczna	1	Piekarnia Kurek
50.0722749	19.9172676	Królewska	82	Bank Ochrony Środowiska S.A
50.0764982	19.9263450	Litewska	13	Mega Pizza
50.0761389	19.9281138	Wrocławska	28	Metaforma
50.0760303	19.9281848	Wrocławska	28	Biedronka
50.0641957	19.9420566	Szpitalna	38	U Babci Maliny
50.0619960	19.9377745	Rynek Główny	1	Rynek Podziemny
50.0585669	19.9450023	Wielopole	16	
50.0586375	19.9458495	Wielopole	15	Hair Line
50.0490198	19.9257070	Zagrody	1	
50.0667673	19.9288747	Piotra Michałowskiego	1	Inter Lang & Text English and German School
50.0844088	19.9449087	Ludwika Solskiego	1	FUP Kraków 73
50.0670544	19.9588060	Mogilska	18	Laseri
50.0593232	19.9420765	Starowiślna	1	Niezapominajka
50.0587887	19.9437662	Wielopole	5	
50.0584719	19.9445997	Wielopole	13	Kantor
50.0575497	19.9453270	Józefa Dietla	80/82	Biblioteka Kraków Filia 1
50.0588202	19.9436796	Wielopole	5	Eland
50.0236007	19.9287566	Do Wilgi	24	
50.0602021	19.9380055	Rynek Główny	13	Pasaż 13
50.0604414	19.9379357	Rynek Główny	13	Pajaro
50.0416379	20.0038362	Golikówka	6b	
49.9975264	19.8993836	Profesora Wojciecha Marii Bartla	19f	
49.9977990	19.8976914	Profesora Wojciecha Marii Bartla	19	
49.9978240	19.8996621	Profesora Wojciecha Marii Bartla	19c	
49.9980379	19.8989000	Profesora Wojciecha Marii Bartla	19b	
49.9978148	19.8981696	Profesora Wojciecha Marii Bartla	19a	
50.0545092	19.9393285	Świętej Gertrudy	26	Royal
50.0000459	19.9123803	Zawiszy	10	Pizzeria Kliny
50.0990236	19.9647139	Księdza Józefa Meiera	20B	Lewiatan
50.0273417	19.9636047	Generała Henryka Kamieńskiego	47	Bank Spółdzielczy w Limanowej
50.0733097	19.9343934	Aleja Juliusza Słowackiego	45	
50.0691110	19.9304941	Henryka Siemiradzkiego	18a	U Moniki
50.0690885	19.9304527	Henryka Siemiradzkiego	18a	
50.0730840	19.9336733	Aleja Juliusza Słowackiego	39	
50.0732516	19.9345935	Długa	88	
50.0693031	19.9300897	Henryka Siemiradzkiego	17	"Klub bilardowy ""Atut"""
50.0729244	19.9330714	Aleja Juliusza Słowackiego	37	
50.0692847	19.9291251	Henryka Siemiradzkiego	25	
50.0692234	19.9310273	Henryka Siemiradzkiego	11	
50.0725166	19.9352035	Długa	80	
50.0693072	19.9289946	Henryka Siemiradzkiego	25	Sortmund
50.0690584	19.9327344	Henryka Siemiradzkiego	2	
50.0727538	19.9349034	Jerzego Żuławskiego	1	
50.0688244	19.9320095	Henryka Siemiradzkiego	8	
50.0690216	19.9316101	Henryka Siemiradzkiego	12	
50.0692456	19.9285380	Teofila Lenartowicza	2	
50.0725036	19.9343128	Jerzego Żuławskiego	5	
50.0693092	19.9298828	Henryka Siemiradzkiego	19	Gabinet lekarski
50.0726426	19.9341626	Jerzego Żuławskiego	7	
50.0725140	19.9350539	Jerzego Żuławskiego	4	
50.0690525	19.9325079	Henryka Siemiradzkiego	4	
50.0688674	19.9318387	Henryka Siemiradzkiego	10	
50.0700949	19.9279766	Teofila Lenartowicza	13	Dentalking
50.0728911	19.9336987	Jerzego Żuławskiego	11	
50.0728588	19.9332232	Jerzego Żuławskiego	18	
50.0727757	19.9350225	Długa	82	
50.0709828	19.9301734	Łobzowska	40	mbike
50.0706204	19.9335764	Szlak	8a	
50.0708924	19.9341528	Krowoderska	46	
50.0710773	19.9346234	Krowoderska	61	
50.0722231	19.9315061	Aleja Juliusza Słowackiego	25	
50.0704419	19.9323570	Łobzowska	47	
50.0706313	19.9334747	Stanisława Staszica	1	
50.0704735	19.9331725	Szlak	8	
50.0712814	19.9329812	Stanisława Staszica	11	
50.0708140	19.9340816	Szlak	12	
50.0707781	19.9349624	Krowoderska	59	
50.0705851	19.9346172	Krowoderska	44	
50.0702003	19.9326011	Szlak	2	
50.0705585	19.9331897	Stanisława Staszica	2	
50.0702504	19.9325095	Łobzowska	45	
50.0713601	19.9331571	Świętej Teresy	3	
50.0708270	19.9350370	Szlak	15	
50.0712854	19.9383512	Szlak	41	
50.0719669	19.9357220	Długa	72	
50.0712029	19.9388844	Pędzichów	22	
50.0713066	19.9364814	Szlak	27	
50.0696351	19.9376978	Długa	31	
50.0711246	19.9361173	Długa	64	Miss
50.0699391	19.9386051	Pędzichów	7	
50.0696071	19.9379972	Pędzichów	2	
50.0714997	19.9395363	Szlak	40	
50.0692003	19.9382430	Długa	29	
50.0715505	19.9363940	Szlak	20	Dreamlike
50.0710908	19.9392560	Pędzichów	23	
50.0695490	19.9383464	Pędzichów	5	Komisariat Policji I w Krakowie
50.0722061	19.9361042	Długa	65	
50.0721061	19.9391607	Pędzichów	28	
50.0712571	19.9394004	Szlak	47	
50.0720227	19.9394716	Pędzichów	27	
50.0716174	19.9390987	Pędzichów	22a	
50.0715506	19.9364283	Szlak	20	Centrum Nauczania Domowego
50.0693581	19.9382559	Pędzichów	3	
50.0716491	19.9394069	Pędzichów	25	
50.0715672	19.9370503	Szlak	24	
50.0713368	19.9388399	Szlak	45	
50.0689212	19.9313328	Henryka Siemiradzkiego	14	
50.0702178	19.9326620	Szlak	2	KAEM Serwis GSM
50.0711988	19.9326111	Stanisława Staszica	14	
50.0711727	19.9325287	Świętej Teresy	3	
50.0640574	19.9276230	Dolnych Młynów	4	
50.0654211	19.9271022	Czarnowiejska	3	
50.0639370	19.9275180	Czysta	1	
50.0639478	19.9269087	Czysta	5	"Apteka ""Czysta 5"""
50.0655689	19.9249947	Czarnowiejska	8	Lunch bar
50.0636550	19.9241694	Aleja Adama Mickiewicza	17	
50.0629459	19.9263616	Krupnicza	29	
50.0632612	19.9278782	Krupnicza	30	
50.0705075	19.9332583	Szlak	8	Edan Artykuły konserwatorskie
50.0893653	20.0390313	Kornela Makuszyńskiego	26	Moya
50.0123449	19.9456515	Chmielna	18A	Martello
50.0146678	19.9323825	Zakopiańska	62	
50.0428944	19.9686759	Powstańców Wielkopolskich	18	Biedronka
50.0443028	19.9729869	Szklarska	7	"Studio urody ""Warsztat"""
50.0864191	20.0595109	Wąwozowa	34	
50.0083360	19.9269756	Osiedle Zaułek Jugowicki	19	
50.0137457	19.9162581	Jagodowa	12	
50.0144121	19.9168972	Kępna	3	
50.0142552	19.9159618	Jagodowa	4	
50.0145391	19.9168039	Żywiecka	46	
50.0143479	19.9160127	Żywiecka	48	
50.0139758	19.9171795	Kępna	9	
50.0302947	19.9090056	Profesora Stanisława Łojasiewicza	4	Biblioteka Wydziału Zarządzania i Komunikacji Społecznej Uniwersytetu Jagiellońskiego
50.0665581	19.8924965	Mydlnicka	73	"Klub Jazdy Konnej ""KLAN"""
50.0324916	19.9207859	Kobierzyńska	47	Sympozjum
50.0272049	19.9313039	Koszalińska	12	La Salette Duszpasterstwo Pielgrzymkowe
50.0274020	19.9280320	Borsucza	16A	Decoupageria
50.0276476	19.9306482	Kołobrzeska	10	"Clear Finance - Kredyty firmowe, pożyczki firmowe"
